job_title,company,location,detected_job_role,skill_match_percentage,matched_skills,role_skill_gaps,exact_role_match,final_precise_score,redirect_url,latitude,longitude,company_address
Creative Technologist,WPP Production,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5801462843?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=3364D668480E304FD333DED2E34D0BB3BB1B55F5,13.06041,80.24963,"India, Tamil Nadu, Chennai"
DCO Front End Developer,WPP Production,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5822403452?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=CDEBFC029E6041E15B60F56174F5B6ABB580F4F2,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Director of Marketing Operations,CBTS,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5820963602?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=447744B5F428416FE9A8C7F3B1CCC4751472566C,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Finance Manager -Research Sales and Revenue,Elsevier,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5790410123?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=714EA7ECAEA80B67C2A1CB0863BC161E0B0385CF,13.06041,80.24963,"India, Tamil Nadu, Chennai"
GL Planning & Information Architecture – Manager,Pfizer,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5829141715?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=4EFD1FDFDBC796483642D00446BF19B26A7C83B7,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Geographic Information System Developer,Kumaran Systems,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5825675568?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=A04F8F113FCAAFFBD4F85C11D8D524C41494D703,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Geographic Information Systems Analyst,Tata Consultancy Services,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5830416841?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=FEC7D1EE1AA6A4B6A26ECD8DABAFA0FB15700B42,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Global Loan Operations - 1 yrs Loan IQ & Syndication loan,Mizuho,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5822659424?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=FF0417341BC910C95C8C1943C651913F14CF7A54,13.06041,80.24963,"India, Tamil Nadu, Chennai"
HCLTech is hiring for International contact Center - Senior Process Associate and Analyst on 31st July 2026( Voice Process),HCLTech,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5822660115?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=67BCA356DABE3DBC7EEAA464EED03F0CF5B3D5A1,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Head of Sales,Cabot Sanmar Ltd.,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5822233011?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=8A8EE25A8DA09D8E326EF4798D0C21CC1FD80EAB,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Hiring for US Healthcare Medical Billing Team Lead - Chennai,HCLTech,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5818523165?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=2E51AF72786A50A98A9E194E78F90C4C6D812863,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Instructional Designer (Exp: 2 Years),Novac Technology Solutions,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5834576806?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=11734FE1EBE2B93E370C5C4F9A441FF3B86E4F3D,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Key Account Director - IT services and consulting : BFSI clients,QualityKiosk Technologies,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5783570113?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=BFA327C23F723C8E4C467EF8D5D6F1DC21F56424,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Key Account Sales Specialist,Soft Suave Technologies,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5818523842?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=C734551B742274C416E04531BE9F040FD1A7D47C,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Management Trainee,Straive,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5829060430?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=25119E3057D196174639E88E602CBF1BE33B2CFF,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Manager – Customer Relationship & Automation Services,BASE Automation,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5803594699?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=4814C43621D35798F91A41035624328DCD3E8692,13.06041,80.24963,"India, Tamil Nadu, Chennai"
NFR Tester / Test Lead,Kyndryl,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5837139324?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=E7C8096B5B4E9A43D6C5029FE8C20F08F1569F3A,13.06041,80.24963,"India, Tamil Nadu, Chennai"
Operations Manager- AML KYC,TP,"Chennai, Tamil Nadu",Other,0.0,,,False,5.0,https://www.adzuna.in/land/ad/5818525114?se=BHmyXXSc8RGQor-L2zKR7A&utm_medium=api&utm_source=10d03a1b&v=092FE0C57E417D41041B5720116E8A0177FEECDC,13.06041,80.24963,"India, Tamil Nadu, Chennai"
